smiles,QED_default,QED_wights_max,QED_wights_mean,QED_wights_none,SA_score
C=CCOc1ccccc1,0.5759490510350389,0.5749899957731203,0.5759490510350389,0.5080835879678773,1.5045913825906343
Br,0.399655785271203,0.439354685461544,0.399655785271203,0.27128066786861926,6.963984615384615
O=[N+]([O-])c1ccccc1,0.4200757446342405,0.3726353796500995,0.4200757446342405,0.5522800399455097,1.3167480072255575
O=C(O)/C=C/c1ccccc1,0.6489204335813592,0.6321573743384894,0.6489204335813592,0.7234840460536809,1.535426639026758
Cl,0.3651643237938947,0.4028205619365808,0.3651643237938947,0.25295911212257516,6.251046153846153
BrBr,0.5050781538986456,0.54783924589526,0.5050781538986456,0.326926555729259,4.3898602266417
ClBr,0.4491117217266351,0.48816818591553174,0.4491117217266351,0.29930623065627504,4.178244842026315
O=O,0.37829615354121426,0.3934459567671274,0.37829615354121426,0.45211866315330207,3.373829457410931
OOO,0.29875973191794,0.27815771088898766,0.29875973191794,0.4146750116453488,3.223341654019599
OO,0.292487473410359,0.272352843862423,0.292487473410359,0.4041193209042677,3.072537149718623
O=C(O)O,0.42172630841069036,0.4372699685509787,0.42172630841069036,0.5032740894889245,1.618413431083363
FCl,0.3885761943930933,0.4244544570961943,0.3885761943930933,0.26773014618812224,3.9669525343340073
FC(F)(F)F,0.3931671530217094,0.41723273484703993,0.3931671530217094,0.2751612446282841,2.0887905390708337
ClCl,0.40426287036445285,0.4403723352959071,0.40426287036445285,0.2764653112502115,3.9666294574109306
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0.5474687039451945,0.4970129312753273,0.5474687039451945,0.6593522805470863,4.422785138114978
C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)C1=C(CC(=O)CC1)C[C@@H]3C,0.5442169972167846,0.4949466218896126,0.5442169972167846,0.6551327715690354,4.68273032837819
C#C[C@]1(O)CC[C@H]2[C@@H]3C(C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0.5442169972167846,0.4949466218896126,0.5442169972167846,0.6551327715690354,4.68273032837819
C#CC1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0.5442169972167846,0.4949466218896126,0.5442169972167846,0.6551327715690354,4.68273032837819
C#CC1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0.5474687039451945,0.4970129312753273,0.5474687039451945,0.6593522805470863,4.422785138114978
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0.5474687039451945,0.4970129312753273,0.5474687039451945,0.6593522805470863,4.422785138114978
C#C[C@]1(O)[C@H](O)C[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0.5336418504727937,0.4814218972324004,0.5336418504727937,0.6569584988927,4.749386578378189
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@]21C,0.5474687039451945,0.4970129312753273,0.5474687039451945,0.6593522805470863,4.422785138114978
C#CC1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,0.4318395226667917,0.35574608714836853,0.4318395226667917,0.5884490475304995,4.8152167417473155
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,0.7460501574652694,0.7417242393600565,0.7460501574652694,0.7855680932265876,4.551999070981741
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@]21CC,0.4318395226667917,0.35574608714836853,0.4318395226667917,0.5884490475304995,4.8152167417473155
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@H]3CC[C@@]21CC,0.4318395226667917,0.35574608714836853,0.4318395226667917,0.5884490475304995,4.8152167417473155
C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,0.5834905102158031,0.5317936509437514,0.5834905102158031,0.6892494998476674,4.808547885800802
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,0.4068245750891081,0.3370309877527161,0.4068245750891081,0.5583465824478556,4.880121401857762
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21C,0.5475000972060459,0.49710403497821526,0.5475000972060459,0.6592840952488582,4.71539643414742
C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0.6950885218084817,0.6890337308241056,0.6950885218084817,0.7467943027615237,4.37485513467548
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]21C,0.6950885218084817,0.6890337308241056,0.6950885218084817,0.7467943027615237,4.37485513467548
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0.6950885218084817,0.6890337308241056,0.6950885218084817,0.7467943027615237,4.37485513467548
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0.5338581764582067,0.4832020250781233,0.5338581764582067,0.6501691997556237,4.483511379493086
C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,0.7496125838587024,0.7443324263390473,0.7496125838587024,0.7894485052481993,4.7015264061964865
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,0.7496125838587024,0.7443324263390473,0.7496125838587024,0.7894485052481993,4.7015264061964865
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,0.5509704735547432,0.50045221816091,0.5509704735547432,0.6636271318893143,4.730157398523228
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C,0.6958123703630612,0.6893468846033144,0.6958123703630612,0.7478684332908637,4.636488524480797
C#CC1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,0.540960336622813,0.5131209102829465,0.540960336622813,0.5212141684390202,4.849056585774639
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21C,0.5160005864758288,0.48459941243845117,0.5160005864758288,0.5081744870114308,4.757511462218903
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4ncccc4[C@H]3C(=C)C[C@@]21CC,0.6311400806810334,0.5621759152841748,0.6311400806810334,0.7412389555360608,4.621241740960654
C=C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,0.6747385339778793,0.7131989038480118,0.6747385339778793,0.5700713756906264,4.884604988141502
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0.7180018360911579,0.6947082641128,0.7180018360911579,0.7804652358838247,3.9347104482886746
C#CC1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,0.7968347529245803,0.7768185007966366,0.7968347529245803,0.8282156983925797,3.8100701433275166
C=C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,0.8165588376845873,0.8025182408740473,0.8165588376845873,0.8365618538532271,3.8310396107831384
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC(=O)CCC(=O)O)ccc4[C@H]3CC[C@@]21C,0.4608113325043993,0.37234829775969797,0.4608113325043993,0.6032399832636164,3.9552350288900318
C=C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,0.6870250084801748,0.7060639232513762,0.6870250084801748,0.7007525655358438,3.9496129002390425
C#CC1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,0.7283713862390043,0.7317997559369496,0.7283713862390043,0.7502086205276789,3.932138344026024
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@]21C,0.7283713862390043,0.7317997559369496,0.7283713862390043,0.7502086205276789,3.932138344026024
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21C,0.3296633411551935,0.2463716040149389,0.3296633411551935,0.5146426896509977,4.736483888387511
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@H]3CC[C@@]21CC,0.3316970024889565,0.25003181708426,0.3316970024889565,0.5126263658935831,4.913199766230231
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](O)CC[C@@H]4[C@H]3CC[C@@]21C,0.44712677803143963,0.3679361971101395,0.44712677803143963,0.6103633403830184,4.694901328055598
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,0.44712677803143963,0.3679361971101395,0.44712677803143963,0.6103633403830184,4.609941328055598
C#CC1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,0.4015627733780324,0.3317194756795049,0.4015627733780324,0.5504741400419507,4.712010840260976
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,0.4015627733780324,0.3317194756795049,0.4015627733780324,0.5504741400419507,4.712010840260976
C#CC1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,0.5338581764582067,0.4832020250781233,0.5338581764582067,0.6501691997556237,4.483511379493086
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,0.7460501574652694,0.7417242393600565,0.7460501574652694,0.7855680932265876,4.551999070981741
C=CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.24905624235542517,0.2675948161756398,0.24905624235542517,0.16575537586777528,3.5728933734479567
C/C=C/C(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.2633377935261964,0.2830203348244756,0.2633377935261964,0.17287117378723374,3.636461493987211
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cn1,0.24950528233180921,0.27410520267247873,0.24950528233180921,0.15305518955800046,3.834263080030035
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1F,0.2517217563431399,0.2715680169552314,0.2517217563431399,0.1665318234308347,3.7856382873268917
C/C(=C(/CCO)SSSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,0.3112536196422365,0.2578600234776016,0.3112536196422365,0.3515656239644311,4.186375591461833
C/C(=C(/CCO)SSCC1CCCO1)N(C)Cc1cnc(C)nc1N,0.628742529286502,0.6210837322336551,0.628742529286502,0.5813308082982949,3.871980900502594
